date,description,amount
2025-10-05,NETFLIX.COM,15.49
2025-11-05,NETFLIX.COM,15.49
2025-12-05,NETFLIX.COM,15.49
2026-01-05,NETFLIX.COM,17.99
2026-02-05,NETFLIX.COM,17.99
2026-03-05,NETFLIX.COM,17.99
2025-10-08,SPOTIFY USA,10.99
2025-11-08,SPOTIFY USA,10.99
2025-12-08,SPOTIFY USA,10.99
2026-01-08,SPOTIFY USA,10.99
2026-02-08,SPOTIFY USA,10.99
2026-03-08,SPOTIFY USA,10.99
2025-10-12,ADOBE *ADOBE,52.99
2025-11-12,ADOBE *ADOBE,52.99
2025-12-12,ADOBE *ADOBE,52.99
2026-01-12,ADOBE *ADOBE,59.99
2026-02-12,ADOBE *ADOBE,59.99
2026-03-12,ADOBE *ADOBE,59.99
2025-10-01,PLANET FITNESS #88421,24.99
2025-11-01,PLANET FITNESS #88421,24.99
2025-12-01,PLANET FITNESS #88421,24.99
2026-01-01,PLANET FITNESS #88421,24.99
2026-02-01,PLANET FITNESS #88421,24.99
2026-03-01,PLANET FITNESS #88421,24.99
2025-10-14,GITHUB.COM,4.00
2025-11-14,GITHUB.COM,4.00
2025-12-14,GITHUB.COM,4.00
2026-01-14,GITHUB.COM,4.00
2026-02-14,GITHUB.COM,4.00
2026-03-14,GITHUB.COM,4.00
2025-10-03,AMZN DIGITAL*PRIME,14.99
2025-11-03,AMZN DIGITAL*PRIME,14.99
2025-12-03,AMZN DIGITAL*PRIME,14.99
2026-01-03,AMZN DIGITAL*PRIME,14.99
2026-02-03,AMZN DIGITAL*PRIME,14.99
2026-03-03,AMZN DIGITAL*PRIME,14.99
2025-10-20,YOUTUBE PREMIUM,13.99
2025-11-20,YOUTUBE PREMIUM,13.99
2025-12-20,YOUTUBE PREMIUM,13.99
2026-01-20,YOUTUBE PREMIUM,13.99
2026-02-20,YOUTUBE PREMIUM,13.99
2026-03-20,YOUTUBE PREMIUM,13.99
2025-10-22,OPENAI *CHATGPT SUBSCR,20.00
2025-11-22,OPENAI *CHATGPT SUBSCR,20.00
2025-12-22,OPENAI *CHATGPT SUBSCR,20.00
2026-01-22,OPENAI *CHATGPT SUBSCR,20.00
2026-02-22,OPENAI *CHATGPT SUBSCR,20.00
2026-03-22,OPENAI *CHATGPT SUBSCR,20.00
2025-10-09,AMZN Mktp US*2K3F9,34.22
2025-10-18,AMZN MKTP US*9Q1AB,12.50
2025-11-11,AMZN Mktp US*7H4CC,48.90
2025-12-16,AMZN MKTP US*LL91Z,9.99
2026-01-19,AMZN Mktp US*0P2MM,27.14
2026-02-21,AMZN MKTP US*44QXZ,15.80
2025-10-07,STARBUCKS STORE 11284,6.45
2025-10-21,STARBUCKS STORE 11284,5.85
2025-11-04,STARBUCKS STORE 8831,7.10
2025-11-19,STARBUCKS STORE 11284,6.25
2025-12-02,STARBUCKS STORE 4410,8.40
2026-01-15,STARBUCKS STORE 11284,6.75
2025-10-11,UBER *TRIP HELP.UBER.COM,18.40
2025-11-02,UBER *TRIP HELP.UBER.COM,22.15
2025-12-19,UBER *TRIP HELP.UBER.COM,14.90
2026-02-08,LYFT *RIDE,16.20
2025-10-15,WHOLEFDS BEL 123,62.18
2025-11-22,WHOLEFDS BEL 123,54.33
2025-12-28,WHOLEFDS BEL 123,81.02
2026-01-26,WHOLEFDS BEL 123,47.60
2025-10-25,SHELL OIL 574423192,41.20
2025-11-28,SHELL OIL 574423192,38.75
2026-01-09,TARGET T- 3341,29.44
2026-02-14,TARGET T- 3341,18.22
2025-12-23,SAFEWAY #4412,36.80
